PlayerId,Name,rotoName,
4395652,N. Little,Nassir Little,
4341,N. Melli,Nicolo Melli,
2990968,N. Mitrou-Long,Naz Mitrou-Long,
2991280,N. Noel,Nerlens Noel,
2608892,N. Pelle,Norvel Pelle,
2595516,N. Powell,Norman Powell,
4396971,N. Reid,Naz Reid,
3078284,N. Vonleh,Noah Vonleh,
6478,N. Vucevic,Nikola Vucevic,
3064457,N. Williams-Goss,Nigel Williams-Goss,
3934719,O. Anunoby,OG Anunoby,
4278031,O. Brissett,Oshae Brissett,
2594922,O. Porter Jr.,OttoﾠPorter,
2594922,O. Porter Jr.,OttoﾠPorter Jr.,
4065836,O. Spellman,Omari Spellman,
3964,P. Beverley,Patrick Beverley,
2578239,P. Connaughton,Pat Connaughton,
3923250,P. Dozier,P.J. Dozier,
4251,P. George,Paul George,
3137730,P. McCaw,Patrick McCaw,
4004,P. Mills,Patty Mills,
3015,P. Millsap,Paul Millsap,
4264,P. Patterson,Patrick Patterson,
3149673,P. Siakam,Pascal Siakam,
3033,P. Tucker,P.J.ﾠTucker,
4278078,P. Washington,PJ Washington,
3058030,P. Watson,Paul Watson,
3033,P.J. Tucker,P.J. Tucker,
2566745,Q. Cook,Quinn Cook,
3907358,Q. Weatherspoon,Quinndary Weatherspoon,
3412,R. Anderson,Ryan Anderson,
2991047,R. Arcidiacono,Ryan Arcidiacono,
4395625,R. Barrett,RJ Barrett,
2489693,R. Broekhoff,Ryan Broekhoff,
2528779,R. Bullock,Reggie Bullock,
2490620,R. Covington,Robert Covington,
3005,R. Gay,Rudy Gay,
3032976,R. Gobert,Rudy Gobert,
4066648,R. Hachimura,Rui Hachimura,
3064291,R. Hollis-Jefferson,Rondae Hollis-Jefferson,
2993370,R. Holmes,Richaun Holmes,
2581177,R. Hood,Rodney Hood,
6443,R. Jackson,Reggie Jackson,
4230548,R. Kurucs,Rodions Kurucs,
4397008,R. Langford,Romeo Langford,
3447,R. Lopez,Robin Lopez,
2488826,R. McGruder,Rodney McGruder,
2968361,R. Neto,Raul Neto,
2583632,R. O'Neale,Royce O'Neale,
3026,R. Rondo,Rajon Rondo,
4011,R. Rubio,Ricky Rubio,
3908819,R. Tucker,Rayjon Tucker,
3468,R. Westbrook,Russell Westbrook,
4066211,R. Williams III,Robert Williams III,
2991235,S. Adams,Steven Adams,
3057187,S. Brown,Sterling Brown,
2326307,S. Curry,Seth Curry,
3975,S. Curry,Stephen Curry,
2580782,S. Dinwiddie,Spencer Dinwiddie,
4423314,S. Doumbouya,Sekou Doumbouya,
4278073,S. Gilgeous-Alexander,Shai Gilgeous-Alexander,
2991274,S. Harrison,Shaquille Harrison,
2991274,S. Harrison,Shaq Harrison,
2488958,S. Hill,Solomon Hill,
3439,S. Ibaka,Serge Ibaka,
3134881,S. Johnson,Stanley Johnson,
2995105,S. Kidd,Stanton Kidd,
3936296,S. Labissiere,Skal Labissiere,
3915195,S. Milton,Shake Milton,
3133602,S. Mykhailiuk,Svi Mykhailiuk,
2530780,S. Napier,Shabazz Napier,
3056602,S. Ojeleye,Semi Ojeleye,
4065834,S. Ponds,Shamorie Ponds,
3102533,T. Antetokounmpo,Thanasis Antetokounmpo,
2426,T. Ariza,Trevor Ariza,
4065673,T. Bradley,Tony Bradley,
4278508,T. Brown Jr.,Troy Brown Jr.,
3934723,T. Bryant,Thomas Bryant,
2579260,T. Burke,Trey Burke,
984,T. Chandler,Tyson Chandler,
4066367,T. Cook,Tyler Cook,
2528693,T. Craig,Torrey Craig,
2489530,T. Daniels,Troy Daniels,
3919454,T. Davis,Terence Davis,
3904625,T. Fall,Tacko Fall,
4230546,T. Ferguson,Terrance Ferguson,
2488945,T. Frazier,Tim Frazier,
3986,T. Gibson,Taj Gibson,
2595231,T. Graham,Treveon Graham,
2528210,T. Hardaway Jr.,Tim Hardaway Jr.,
6440,T. Harris,Tobias Harris,
4395725,T. Herro,Tyler Herro,
4396991,T. Horton-Tucker,Talen Horton-Tucker,
4065733,T. Jerome,Ty Jerome,
2530276,T. Johnson,Tyler Johnson,
3135046,T. Jones,Tyus Jones,
3893019,T. Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,
3136196,T. Lyles,Trey Lyles,
4017843,T. Maker,Thon Maker,
3907823,T. Mann,Terance Mann,
3149059,T. Owens,Tariq Owens,
3138154,T. Pinson,Theo Pinson,
2990962,T. Prince,Taurean Prince,
6619,T. Ross,Terrence Ross,
3074752,T. Rozier,Terry Rozier,
6621,T. Satoransky,Tomas Satoransky,
3028,T. Sefolosha,Thabo Sefolosha,
2528353,T. Snell,Tony Snell,
6474,T. Thompson,Tristan Thompson,
3002137,T. Wallace,Tyrone Wallace,
4278080,T. Waters,Tremont Waters,
3244,T. Young,Thaddeus Young,
4277905,T. Young,Trae Young,
4066425,T.J. Leaf,TJ Leaf,
2530530,T.J. McConnell,T.J. McConnell,
2982334,T.J. Warren,TJ Warren,
2184,U. Haslem,UdonisﾠHaslem,
4230557,V. Cancar,Vlatko Cancar,
136,V. Carter,Vince Carter,
3136746,V. Law,Vic Law,
2527963,V. Oladipo,Victor Oladipo,
4237215,V. Poirier,Vincent Poirier,
6579,W. Barton,Will Barton,
4277847,W. Carter Jr.,Wendell Carter Jr.,
2991282,W. Cauley-Stein,Willie Cauley-Stein,
3194,W. Chandler,Wilson Chandler,
3981,W. Ellington,Wayne Ellington,
4066264,W. Gabriel,Wenyen Gabriel,
2999409,W. Hernangomez,Willy Hernangomez,
4237239,W. Howard,William Howard,
3074797,W. Iwundu,Wes Iwundu,
4032,W. Matthews,Wesley Matthews,
2991018,Y. Ferrell,Yogi Ferrell,
3133838,Y. Watanabe,Yuta Watanabe,
3137713,Z. Cheatham,Zylan Cheatham,
4066650,Z. Collins,Zach Collins,
3064440,Z. LaVine,Zach LaVine,
4066649,Z. Norvell Jr.,Zach Norvell,
4277923,Z. Smith,Zhaire Smith,
4395628,Z. Williamson,Zion Williamson,
1987,,Dwyane Wade,
2016,,Zaza Pachulia,
6589,,Draymond Green,
6475,,Klay Thompson,
3202,,Kevin Durant,
3412,,Ryan Anderson,
3209,,Jeff Green,
3243,,Nick Young,
2393,,Shaun Livingston,
2444,,J.R. Smith,
1713,,Nene Hilario,
3554,,Omri Casspi,
2754,,Channing Frye,
2806,,Jose Calderon,
2177,,David West,
3451,,Luc Richard Mbah a Moute,
3078286,,Troy Williams,
4244,,Lance Stephenson,
2579466,,Jonathon Simmons,
3419,,Mario Chalmers,
