"","avg","prob_0","prob_1","prob_2","prob_3","prob_4","prob_5","prob_6","prob_7","prob_8","prob_9","prob_10","prob_11","prob_12","prob_13","prob_14","prob_15","prob_16","prob_17","prob_18","prob_19","prob_20","prob_21","prob_22","prob_23","prob_24","prob_25","prob_26","prob_27","prob_28","prob_29","prob_30","prob_31","prob_32","prob_33","prob_34","prob_35","prob_36","prob_37","prob_38","prob_39","prob_40","prob_41","prob_42","prob_43","prob_44","prob_45","prob_46","prob_47","prob_48","prob_49","prob_50"
"206",20.9,0,0,7.49981250468738e-05,7.49981250468738e-05,0.000174995625109372,0.00032499187520312,0.000574985625359366,0.00114997125071873,0.00207494812629684,0.00364990875228119,0.00557486062848429,0.00924976875578111,0.0136996575085623,0.020974475638109,0.030499237519062,0.038424039399015,0.0510487237819055,0.0584235394115147,0.0689232769180771,0.0791730206744831,0.08204794880128,0.0848978775530612,0.0805979850503737,0.0751231219219519,0.0679483012924677,0.0588485287867803,0.0460988475288118,0.0362740931476713,0.0276493087672808,0.0211244718882028,0.013649658758531,0.00839979000524987,0.00532486687832804,0.0034499137521562,0.00199995000124997,0.00107497312567186,0.000799980000499987,0.000299992500187495,0.000249993750156246,2.49993750156246e-05,0,2.49993750156246e-05,0,0,0,0,0,0,0,0,0
"207",21,0,0,4.99987500312492e-05,9.99975000624984e-05,4.99987500312492e-05,0.000199995000124997,0.000699982500437489,0.000899977500562486,0.00187495312617185,0.00322491937701557,0.00557486062848429,0.00842478938026549,0.0140996475088123,0.0206994825129372,0.0289992750181245,0.0377740556486088,0.045748856278593,0.0597235069123272,0.0706482337941551,0.0788980275493113,0.0823979400514987,0.0835729106772331,0.08244793880153,0.0758731031724207,0.0680732981675458,0.057873553161171,0.0488237794055149,0.0371490712732182,0.0289742756431089,0.0208994775130622,0.0138746531336717,0.00924976875578111,0.00579985500362491,0.0033499162520937,0.00167495812604685,0.000949976250593735,0.00064998375040624,0.00032499187520312,0.000224994375140621,4.99987500312492e-05,4.99987500312492e-05,2.49993750156246e-05,0,0,0,0,0,0,0,0,0
"208",21.1,0,2.49993750156246e-05,0,9.99975000624984e-05,7.49981250468738e-05,0.000449988750281243,0.000474988125296868,0.000724981875453114,0.00167495812604685,0.00327491812704682,0.00564985875353116,0.00799980000499988,0.0130746731331717,0.0196245093872653,0.0259243518912027,0.0365490862728432,0.048148796280093,0.0606484837879053,0.0666733331666708,0.0749731256718582,0.0813979650508737,0.0823479413014675,0.0836229094272643,0.0756481087972801,0.069923251918702,0.0599735006624834,0.0518237044073898,0.0387740306492338,0.0307992300192495,0.0222744431389215,0.0141246468838279,0.00907477313067173,0.00674983125421864,0.00362490937726557,0.00167495812604685,0.000849978750531237,0.000574985625359366,0.000399990000249994,9.99975000624984e-05,9.99975000624984e-05,7.49981250468738e-05,0,0,0,0,0,0,0,0,0,0
"209",21.2,0,2.49993750156246e-05,2.49993750156246e-05,0.000124996875078123,0.000174995625109372,0.000274993125171871,0.000449988750281243,0.000924976875578111,0.00214994625134372,0.0033499162520937,0.00572485687857804,0.00869978250543736,0.0135246618834529,0.0187995300117497,0.0270493237669058,0.0379990500237494,0.0456238594035149,0.0545736356591085,0.0680232994175146,0.0746481337966551,0.0817979550511237,0.0834229144271393,0.0824729381765456,0.0791730206744831,0.0698232544186395,0.0609734756631084,0.0488487787805305,0.03942401439964,0.0307492312692183,0.0206494837629059,0.0154746131346716,0.010324741881453,0.00612484687882803,0.00389990250243744,0.00197495062623434,0.00137496562585935,0.000599985000374991,0.000349991250218745,0.000124996875078123,9.99975000624984e-05,9.99975000624984e-05,0,4.99987500312492e-05,0,0,0,0,0,0,0,0
"210",21.3,0,0,4.99987500312492e-05,7.49981250468738e-05,7.49981250468738e-05,0.000374990625234369,0.000624984375390615,0.000899977500562486,0.0018249543761406,0.00274993125171871,0.00504987375315617,0.00834979125521862,0.0133246668833279,0.0199495012624684,0.026774330641734,0.0355991100222494,0.0446988825279368,0.0569485762855929,0.0648483787905302,0.0725731856703582,0.0809979750506237,0.0806979825504362,0.0811479713007175,0.0787230319242019,0.0716232094197645,0.0613734656633584,0.050748731281718,0.04102397440064,0.0323491912702182,0.022374440638984,0.0166995825104372,0.0106997325066873,0.00702482437939052,0.00437489062773431,0.00257493562660933,0.00144996375090623,0.000724981875453114,0.000374990625234369,7.49981250468738e-05,9.99975000624984e-05,2.49993750156246e-05,2.49993750156246e-05,0,0,0,0,0,0,0,0,0
"211",21.4,0,0,4.99987500312492e-05,4.99987500312492e-05,0.000199995000124997,0.000174995625109372,0.000299992500187495,0.000924976875578111,0.00204994875128122,0.00244993875153121,0.0046748831279218,0.0078248043798905,0.0124996875078123,0.017649558761031,0.0240743981400465,0.0348241293967651,0.0459738506537337,0.0553486162845929,0.0646733831654209,0.0722481937951551,0.0802729931751706,0.0822729431764206,0.0815479613009675,0.0803229919252019,0.0721981950451239,0.0626734331641709,0.0537986550336242,0.0409739756506087,0.031899202519937,0.0236494087647809,0.0159996000099998,0.0105747356316092,0.00737481562960926,0.00482487937801555,0.00272493187670308,0.00124996875078123,0.000949976250593735,0.000349991250218745,0.000199995000124997,7.49981250468738e-05,2.49993750156246e-05,4.99987500312492e-05,0,0,0,0,0,0,0,0,0
"212",21.5,0,0,0,2.49993750156246e-05,7.49981250468738e-05,0.000249993750156246,0.000499987500312492,0.000749981250468738,0.00164995875103122,0.00302492437689058,0.00514987125321867,0.00774980625484363,0.0113247168820779,0.0176245593860153,0.0262493437664058,0.0320241993950151,0.0423489412764681,0.0536236594085148,0.063798405039874,0.0720981975450614,0.0779480512987175,0.0829229269268268,0.0837729056773581,0.0773980650483738,0.0738981525461863,0.0647483812904677,0.0533736656583585,0.0426739331516712,0.0342241443963901,0.0231994200144996,0.0171245718857029,0.0113747156321092,0.007924801879953,0.00502487437814055,0.00262493437664058,0.0017249568760781,0.000674983125421865,0.000424989375265618,0.00032499187520312,0.000199995000124997,7.49981250468738e-05,7.49981250468738e-05,0,0,0,0,0,0,0,0,0
"213",21.6,0,0,2.49993750156246e-05,0.000124996875078123,0,0.000349991250218745,0.000474988125296868,0.00097497562560936,0.00164995875103122,0.00262493437664058,0.00437489062773431,0.00724981875453114,0.0119997000074998,0.0178745531361716,0.0248743781405465,0.0338741531461713,0.04222394440139,0.0509737256568586,0.0652233694157646,0.0722481937951551,0.0763980900477488,0.0816979575510612,0.083047923801905,0.07924801879953,0.0740231494212645,0.0665483362915927,0.0536236594085148,0.0433239169020775,0.0348241293967651,0.0233244168895778,0.0167245818854529,0.0114997125071873,0.00762480937976551,0.00469988250293743,0.00292492687682808,0.00154996125096873,0.000874978125546861,0.000374990625234369,0.000274993125171871,0.000174995625109372,2.49993750156246e-05,4.99987500312492e-05,0,0,0,0,0,0,0,0,0
"214",21.7,0,0,2.49993750156246e-05,2.49993750156246e-05,9.99975000624984e-05,0.000124996875078123,0.00032499187520312,0.000574985625359366,0.00154996125096873,0.00247493812654684,0.00379990500237494,0.00697482562935927,0.0106747331316717,0.0164245893852654,0.0231244218894528,0.0318742031449214,0.0392990175245619,0.0504737381565461,0.0619234519137022,0.0695732606684833,0.0777230569235769,0.0826979325516862,0.0840228994275143,0.0809979750506237,0.0738981525461863,0.0654983625409365,0.0555736106597335,0.0456738581535462,0.0358991025224369,0.0254743631409215,0.0188745281367966,0.0133496662583435,0.00819979500512487,0.00527486812829679,0.00284992875178121,0.00242493937651559,0.00112497187570311,0.000599985000374991,0.000249993750156246,9.99975000624984e-05,7.49981250468738e-05,7.49981250468738e-05,0,0,0,0,0,0,0,0,0
"215",21.8,0,0,0,2.49993750156246e-05,7.49981250468738e-05,9.99975000624984e-05,0.000524986875328117,0.000674983125421865,0.00122496937576561,0.00239994000149996,0.00414989625259368,0.00662483437914052,0.0104997375065623,0.0161495962600935,0.0220244493887653,0.0304742381440464,0.0414739631509212,0.0490987725306867,0.0598985025374366,0.0684232894177646,0.0789230269243269,0.0813979650508737,0.0831729206769831,0.0788980275493113,0.0734231644208895,0.0669983250418739,0.0559986000349991,0.0454988625284368,0.03702407439814,0.0270743231419215,0.0214494637634059,0.0128746781330467,0.00957476063098422,0.00519987000324992,0.00362490937726557,0.00229994250143746,0.00114997125071873,0.000774980625484363,0.000349991250218745,0.000199995000124997,0.000149996250093748,4.99987500312492e-05,2.49993750156246e-05,2.49993750156246e-05,0,0,0,0,0,0,0
